序号;文件序号;文件名称;名称;位置;合同号;软件版本;修改日期;匹配;大小;类型;创建日期;最后访问日期;文件扩展名;行;文本
663;1;D:\24.工程设计备份\S山西\2009年度\SZ091610太原220kV龙城变监控系统\101208服务记录\后台\101203.太原220kV龙城变监控系统设计更改单.xls;101203.太原220kV龙城变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091610太原220kV龙城变监控系统\101208服务记录\后台\;SZ091610;;2016/11/28 16:41;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:39;2017/8/28 22:39;XLS;21;"Unix服务器：PRS-700U-标准X-(P2)-V2.30-20101125"" 校验码"
664;2;D:\24.工程设计备份\S山西\2009年度\SZ091610太原220kV龙城变监控系统\101208服务记录\后台\101203.太原220kV龙城变监控系统设计更改单.xls;101203.太原220kV龙城变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091610太原220kV龙城变监控系统\101208服务记录\后台\;SZ091610;;2016/11/28 16:41;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:39;2017/8/28 22:39;XLS;25;原版本号 PRS-700U-标准X(朔州右玉P5)-S-V2.00-20100731 新版本号 PRS-700U-标准X-(P2)-V2.30-20101125
665;1;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\00设计软件\;SZ091618;;2016/11/28 16:41;1;55 KB;Microsoft Word 97 - 2003 文档;2017/8/28 22:44;2017/8/28 22:44;DOC;9;版本说明：PRS-700U-标准X(朔州右玉P2)-S-V2.00-20091231.rar
666;1;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\100528服务记录\后台\100528山西临汾220kV东亢变工程设计更改单.xls;100528山西临汾220kV东亢变工程设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\100528服务记录\后台\;SZ091618;;2016/11/28 16:41;3;80 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:44;2017/8/28 22:44;XLS;16;"安装包：PRS-700U-标准X(东亢变P2)-S-V2.00-20100528.zip"" 校验码"
667;2;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\100528服务记录\后台\100528山西临汾220kV东亢变工程设计更改单.xls;100528山西临汾220kV东亢变工程设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\100528服务记录\后台\;SZ091618;;2016/11/28 16:41;3;80 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:44;2017/8/28 22:44;XLS;20;原版本号 PRS-700U-标准X(朔州右玉P2)-S-V2.00-20091231 新版本号 PRS-700U-标准X(东亢变P2)-S-V2.00-20100528
668;1;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\100924服务记录\后台\100924山西临汾220kV东亢变工程设计更改单.xls;100924山西临汾220kV东亢变工程设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\100924服务记录\后台\;SZ091618;;2016/11/28 16:41;3;80 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:44;2017/8/28 22:44;XLS;19;"安装包：PRS-700U-标准X(东亢变P3)-S-V2.00-20100528.zip"" 校验码"
669;2;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\100924服务记录\后台\100924山西临汾220kV东亢变工程设计更改单.xls;100924山西临汾220kV东亢变工程设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\100924服务记录\后台\;SZ091618;;2016/11/28 16:41;3;80 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:44;2017/8/28 22:44;XLS;23;原版本号 PRS-700U-标准X(东亢变P2)-S-V2.00-20100528.zip 新版本号 PRS-700U-标准X(东亢变P3)-S-V2.01-20100915
670;1;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\101206服务记录\后台\101026.临汾220kV东亢变监控系统设计更改单.xls;101026.临汾220kV东亢变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\101206服务记录\后台\;SZ091618;;2016/11/28 16:41;4;53 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:44;2017/8/28 22:44;XLS;15;"程序路径： Unix服务器：\\dazx\GC\通讯后台\后台软件\PRS700U后台监控程序\标准程序\x86\PRS-700U-标准X-(P2)-V2.30-20101119 间隔五防配置工具：\\dazx\GC\通讯后台\后台软件\PRS700U后台监控程序\地区版本\江苏\PRS-700U-(江苏间隔五防配置工具)-S-V2.00-20091210"" 校验码"
671;2;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\101206服务记录\后台\101026.临汾220kV东亢变监控系统设计更改单.xls;101026.临汾220kV东亢变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\101206服务记录\后台\;SZ091618;;2016/11/28 16:41;4;53 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:44;2017/8/28 22:44;XLS;19;原版本号 PRS-700U-标准X(东亢变P3)-S-V2.00-20100528 新版本号 PRS-700U-标准X-(P2)-V2.30-20101119
672;1;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\111026服务记录\后台\111026.山西临汾220kV东亢变监控系统设计更改单.xls;111026.山西临汾220kV东亢变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\111026服务记录\后台\;SZ091618;;2016/11/28 16:41;3;57 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:44;2017/8/28 22:44;XLS;17;软件包路径： \\dazx\GC\通讯后台\后台软件\PRS700U后台监控程序\地区版本\山西\PRS-700U-标准X(山西)-V2.30-20111026.zip
673;2;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\111026服务记录\后台\111026.山西临汾220kV东亢变监控系统设计更改单.xls;111026.山西临汾220kV东亢变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091618临汾220kV东亢变监控系统\111026服务记录\后台\;SZ091618;;2016/11/28 16:41;3;57 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:44;2017/8/28 22:44;XLS;23;原版本号 PRS-700U-标准X-(P2)-V2.30-20101119 新版本号 PRS-700U-标准X(山西)-V2.30-20111026
674;1;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\00设计软件\;SZ091620;;2016/11/28 16:41;1;55 KB;Microsoft Word 97 - 2003 文档;2017/8/28 22:41;2017/8/28 22:41;DOC;9;版本说明：PRS-700U-标准X(晋中左权变P2)-S-V2.00-20100303.gz
675;1;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\101206服务记录\后台\101206.运城220kV芮城变监控系统设计更改单.xls;101206.运城220kV芮城变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\101206服务记录\后台\;SZ091620;;2016/11/28 16:41;3;52 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:41;2017/8/28 22:41;XLS;16;"Unix服务器：PRS-700U-标准X-(P2)-V2.30-20101125"" 校验码"
676;2;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\101206服务记录\后台\101206.运城220kV芮城变监控系统设计更改单.xls;101206.运城220kV芮城变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\101206服务记录\后台\;SZ091620;;2016/11/28 16:41;3;52 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:41;2017/8/28 22:41;XLS;20;原版本号 PRS-700U-标准X(晋中左权变P2)-S-V2.00-20100303 新版本号 PRS-700U-标准X-(P2)-V2.30-20101125
677;1;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\111026服务记录\后台\111026.山西运城220kV芮城变监控系统设计更改单.xls;111026.山西运城220kV芮城变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\111026服务记录\后台\;SZ091620;;2016/11/28 16:41;3;57 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:41;2017/8/28 22:41;XLS;17;软件包路径： \\dazx\GC\通讯后台\后台软件\PRS700U后台监控程序\地区版本\山西\PRS-700U-标准X(山西)-V2.30-20111026.zip
678;2;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\111026服务记录\后台\111026.山西运城220kV芮城变监控系统设计更改单.xls;111026.山西运城220kV芮城变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ091620-1运城220kV芮城变监控系统\111026服务记录\后台\;SZ091620;;2016/11/28 16:41;3;57 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:41;2017/8/28 22:41;XLS;23;原版本号 PRS-700U-标准X-(P2)-V2.30-20101125 新版本号 PRS-700U-标准X(山西)-V2.30-20111026
183;1;D:\24.工程设计备份\H河北\2009年度\SZ091721廊坊南孝城变综自\101031服务记录\后台\101031廊坊南孝城变综自工程设计更改单.xls;101031廊坊南孝城变综自工程设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091721廊坊南孝城变综自\101031服务记录\后台\;SZ091721;;2016/11/25 10:33;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:34;2017/8/28 19:34;XLS;20;Unix服务器：PRS-700U-标准X-（P1）-V2.30-20101012
184;2;D:\24.工程设计备份\H河北\2009年度\SZ091721廊坊南孝城变综自\101031服务记录\后台\101031廊坊南孝城变综自工程设计更改单.xls;101031廊坊南孝城变综自工程设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091721廊坊南孝城变综自\101031服务记录\后台\;SZ091721;;2016/11/25 10:33;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:34;2017/8/28 19:34;XLS;25;原版本号 PRS-700U-标准X(唐山税东变P3)-S-V2.10-20100415 新版本号 PRS-700U-标准X-（P1）-V2.30-20101012
187;1;D:\24.工程设计备份\H河北\2009年度\SZ091721廊坊南孝城变综自\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\H河北\2009年度\SZ091721廊坊南孝城变综自\00设计软件\;SZ091721;;2016/11/25 10:33;1;51 KB;Microsoft Word 97 - 2003 文档;2017/8/28 19:34;2017/8/28 19:34;DOC;9;版本说明：PRS-700U-标准X(唐山税东变P3)-S-V2.10-20100415.zip
188;1;D:\24.工程设计备份\H河北\2009年度\SZ091722廊坊龚庄变综自\101104服务记录\后台\101104.河北廊坊龚庄变综自设计更改单.xls;101104.河北廊坊龚庄变综自设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091722廊坊龚庄变综自\101104服务记录\后台\;SZ091722;;2016/11/25 10:33;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:33;2017/8/28 19:33;XLS;20;"Unix服务器：PRS-700U-标准X-（P1）-V2.30-20101012"" 校验码"
189;2;D:\24.工程设计备份\H河北\2009年度\SZ091722廊坊龚庄变综自\101104服务记录\后台\101104.河北廊坊龚庄变综自设计更改单.xls;101104.河北廊坊龚庄变综自设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091722廊坊龚庄变综自\101104服务记录\后台\;SZ091722;;2016/11/25 10:33;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:33;2017/8/28 19:33;XLS;24;原版本号 PRS-700U-标准X(唐山税东变P3)-S-V2.10-20100415.zip 新版本号 PRS-700U-标准X-（P1）-V2.30-20101012
190;1;D:\24.工程设计备份\H河北\2009年度\SZ091722廊坊龚庄变综自\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\H河北\2009年度\SZ091722廊坊龚庄变综自\00设计软件\;SZ091722;;2016/11/25 10:33;1;51 KB;Microsoft Word 97 - 2003 文档;2017/8/28 19:33;2017/8/28 19:33;DOC;9;版本说明：PRS-700U-标准X(唐山税东变P3)-S-V2.10-20100415.zip
191;1;D:\24.工程设计备份\H河北\2009年度\SZ091723廊坊闻庄变综自\101207服务记录\后台\101207.廊坊闻庄变综自设计更改单.xls;101207.廊坊闻庄变综自设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091723廊坊闻庄变综自\101207服务记录\后台\;SZ091723;;2016/11/25 10:33;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:32;2017/8/28 19:32;XLS;18;"Unix服务器：PRS-700U-标准X-(P2)-V2.30-20101125"" 校验码"
192;2;D:\24.工程设计备份\H河北\2009年度\SZ091723廊坊闻庄变综自\101207服务记录\后台\101207.廊坊闻庄变综自设计更改单.xls;101207.廊坊闻庄变综自设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091723廊坊闻庄变综自\101207服务记录\后台\;SZ091723;;2016/11/25 10:33;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:32;2017/8/28 19:32;XLS;22;原版本号 PRS-700U-标准X(唐山税东变P3)-S-V2.10-20100415 新版本号 PRS-700U-标准X-(P2)-V2.30-2010112
193;1;D:\24.工程设计备份\H河北\2009年度\SZ091723廊坊闻庄变综自\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\H河北\2009年度\SZ091723廊坊闻庄变综自\00设计软件\;SZ091723;;2016/11/25 10:33;1;51 KB;Microsoft Word 97 - 2003 文档;2017/8/28 19:32;2017/8/28 19:32;DOC;9;版本说明：PRS-700U-标准X(唐山税东变P3)-S-V2.10-20100415.zip
194;1;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\111031服务记录\后台\111031.河北沧州任丘东北变220kV监控系统设计更改单.xls;111031.河北沧州任丘东北变220kV监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\111031服务记录\后台\;SZ091869;;2016/11/25 10:33;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:33;2017/8/28 19:33;XLS;16;程序路径：\\dazx\GC\通讯后台\后台软件\PRS700U后台监控程序\标准程序\X86\V2.3标准\PRS-700U-标准X-S-V2.30-20111015.zip
195;2;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\111031服务记录\后台\111031.河北沧州任丘东北变220kV监控系统设计更改单.xls;111031.河北沧州任丘东北变220kV监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\111031服务记录\后台\;SZ091869;;2016/11/25 10:33;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:33;2017/8/28 19:33;XLS;22;原版本号 PRS-700U-标准S(唐山税东变P4)-S-V2.10-20100820 新版本号 PRS-700U-标准X-S-V2.30-20111015
196;1;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\00设计软件\;SZ091869;;2016/11/25 10:33;1;51 KB;Microsoft Word 97 - 2003 文档;2017/8/28 19:33;2017/8/28 19:33;DOC;9;版本说明：PRS-700U-标准S(唐山税东变P3)-S-V2.10-20108020.zip
197;1;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\111119服务记录\后台\20111119河北沧州220kV任东北变设计更改单.xls;20111119河北沧州220kV任东北变设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\111119服务记录\后台\;SZ091869;;2016/11/25 10:33;2;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:33;2017/8/28 19:33;XLS;22;原版本号 PRS-700U-标准X-S-V2.30-20111015 新版本号 PRS-700U-标准X-S-V2.30-20111114
198;1;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\130718服务记录\后台\130718河北沧州220kV任东北变通讯后台设计更改单.xls;130718河北沧州220kV任东北变通讯后台设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091869-4沧州任丘东北变220kV监控系统\130718服务记录\后台\;SZ091869;;2016/11/25 10:33;2;31 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:32;2017/8/28 19:32;XLS;21;原版本号 PRS-700U-标准X-S-V2.30-20111114 新版本号 PRS-700U-标准S-S-V2.30-130302
199;1;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\110419服务记录\后台\20110419.邯郸220kV中华变监控系统设计更改单.xls;20110419.邯郸220kV中华变监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\110419服务记录\后台\;SZ091870;;2016/11/25 10:33;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:34;2017/8/28 19:34;XLS;18;"Unix服务器：PRS-700U-标准S-(P2)-V2.30-20110411"" 校验码"
200;2;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\110419服务记录\后台\20110419.邯郸220kV中华变监控系统设计更改单.xls;20110419.邯郸220kV中华变监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\110419服务记录\后台\;SZ091870;;2016/11/25 10:33;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:34;2017/8/28 19:34;XLS;22;原版本号 PRS-700U-标准S(唐山税东变P4)-S-V2.10-20100820 新版本号 PRS-700U-标准S-(P2)-V2.30-20110411
201;1;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\00设计软件\;SZ091870;;2016/11/25 10:33;1;51 KB;Microsoft Word 97 - 2003 文档;2017/8/28 19:34;2017/8/28 19:34;DOC;9;版本说明：PRS-700U-标准S(唐山税东变P3)-S-V2.10-20108020.zip
202;1;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\110607服务记录\后台\20110607.邯郸220kV中华变监控系统设计更改单.xls;20110607.邯郸220kV中华变监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\110607服务记录\后台\;SZ091870;;2016/11/25 10:33;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:34;2017/8/28 19:34;XLS;18;"Unix服务器：PRS-700U-标准S-V2.30-20110531"" 校验码"
203;2;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\110607服务记录\后台\20110607.邯郸220kV中华变监控系统设计更改单.xls;20110607.邯郸220kV中华变监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091870-4邯郸220kV中华变监控系统\110607服务记录\后台\;SZ091870;;2016/11/25 10:33;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:34;2017/8/28 19:34;XLS;22;原版本号 PRS-700U-标准S-(P2)-V2.30-20110411 新版本号 PRS-700U-标准S-V2.30-20110531
458;1;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\00设计软件\;SZ091872;;2016/11/28 14:32;2;51 KB;Microsoft Word 97 - 2003 文档;2017/8/29 0:10;2017/8/29 0:10;DOC;9;版本说明：PRS-700U-标准S(财神梁风电厂P1)-S-V2.00-20091010
459;2;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\00设计软件\;SZ091872;;2016/11/28 14:32;2;51 KB;Microsoft Word 97 - 2003 文档;2017/8/29 0:10;2017/8/29 0:10;DOC;16;版本说明：PRS-700U-标准S(财神梁风电厂P1)-S-V2.00-20091010
460;1;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\100913服务记录\后台\100913.内蒙古君达卓资县财神梁风电场一期49.5MW机组工程设计更改单.xls;100913.内蒙古君达卓资县财神梁风电场一期49.5MW机组工程设计更改单.xls;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\100913服务记录\后台\;SZ091872;;2016/11/28 14:32;3;73 KB;Microsoft Excel 97-2003 工作表;2017/8/29 0:10;2017/8/29 0:10;XLS;13;更改内容 程序版本：PRS-700U-标准S(财神梁风电厂P2)-S-V2.10-20100911 程序路径：\\dazx\gc\通讯后台\后台软件\PRS700U后台监控程序\特殊程序\内蒙古\财神梁风电场 校验码
461;2;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\100913服务记录\后台\100913.内蒙古君达卓资县财神梁风电场一期49.5MW机组工程设计更改单.xls;100913.内蒙古君达卓资县财神梁风电场一期49.5MW机组工程设计更改单.xls;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\100913服务记录\后台\;SZ091872;;2016/11/28 14:32;3;73 KB;Microsoft Excel 97-2003 工作表;2017/8/29 0:10;2017/8/29 0:10;XLS;17;原版本号 PRS-700U-标准S(财神梁风电厂P1)-S-V2.00-20091010 新版本号 PRS-700U-标准S(财神梁风电厂P2)-S-V2.10-20100911
462;1;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\120903服务记录\后台\120914内蒙古君达卓资县财神梁风电场监控系统设计更改单.xls;120914内蒙古君达卓资县财神梁风电场监控系统设计更改单.xls;D:\24.工程设计备份\N内蒙古\2009年度\SZ091872-1君达卓资县财神梁风电场一期220kV升压站监控\120903服务记录\后台\;SZ091872;;2016/11/28 14:32;2;113 KB;Microsoft Excel 97-2003 工作表;2017/8/29 0:09;2017/8/29 0:09;XLS;28;原版本号 PRS-700U-标准S(财神梁风电厂P2)-S-V2.10-20100911 新版本号 PRS-700U-标准X(内蒙古财神梁风电场)-S-V2.10-120903
204;1;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\101031服务记录\后台\101031崇礼西桥梁风电场综自设计更改单.xls;101031崇礼西桥梁风电场综自设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\101031服务记录\后台\;SZ091898;;2016/11/25 10:33;2;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:34;2017/8/28 19:34;XLS;21;"Unix服务器：PRS-700U-标准S-（P1）-S-V2.30-20100911"" 校验码"
205;2;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\101031服务记录\后台\101031崇礼西桥梁风电场综自设计更改单.xls;101031崇礼西桥梁风电场综自设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\101031服务记录\后台\;SZ091898;;2016/11/25 10:33;2;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:34;2017/8/28 19:34;XLS;25;原版本号 ISA-300+-特殊-S-V3.01-090927.exe 新版本号 PRS-700U-标准S-（P1）-S-V2.30-20100911
206;1;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\120410服务记录\后台\120411河北张家口崇礼西桥梁风电场监控系统设计更改单.xls;120411河北张家口崇礼西桥梁风电场监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\120410服务记录\后台\;SZ091898;;2016/11/25 10:33;2;115 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:35;2017/8/28 19:35;XLS;36;"PRS-700U-标准S-（P1）-S-V2.30-20100911"" 新版本号 ""ISA-301C-标准(西桥梁风电P7)-M-V3.50-120410"
207;2;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\120410服务记录\后台\120411河北张家口崇礼西桥梁风电场监控系统设计更改单.xls;120411河北张家口崇礼西桥梁风电场监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\120410服务记录\后台\;SZ091898;;2016/11/25 10:33;2;115 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:35;2017/8/28 19:35;XLS;37;"PRS-700U-标准S(西桥梁风电场)-S-V2.30-20120411"""
208;1;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\120410服务记录\通讯\工程设计更改单.xls;工程设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\120410服务记录\通讯\;SZ091898;;2016/11/25 10:33;2;129 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:35;2017/8/28 19:35;XLS;36;"PRS-700U-标准S-（P1）-S-V2.30-20100911"" 新版本号 ""ISA-301C-标准(西桥梁风电P7)-M-V3.50-120410"
209;2;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\120410服务记录\通讯\工程设计更改单.xls;工程设计更改单.xls;D:\24.工程设计备份\H河北\2009年度\SZ091898崇礼西桥梁风电场综自\120410服务记录\通讯\;SZ091898;;2016/11/25 10:33;2;129 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:35;2017/8/28 19:35;XLS;37;"PRS-700U-标准S(西桥梁风电场)-V2.30-20120411"""
346;1;D:\24.工程设计备份\J吉林\2009年度\SZ091909白山市泉阳变综自工程\130130服务记录\后台\设计更改单.xls;设计更改单.xls;D:\24.工程设计备份\J吉林\2009年度\SZ091909白山市泉阳变综自工程\130130服务记录\后台\;SZ091909;;2016/11/28 10:24;2;116 KB;Microsoft Excel 97-2003 工作表;2017/8/29 6:50;2017/8/29 6:50;XLS;25;原版本号 PRS-700U-标准X-S-V2.00 新版本号 PRS-700U-标准X-S-V2.30
369;1;D:\24.工程设计备份\J江苏\2009年度\SZ092402-1龙源如东海上风电场一期综自\110505服务记录\后台\110505.龙源如东海上风电场一期综自设计更改单.xls;110505.龙源如东海上风电场一期综自设计更改单.xls;D:\24.工程设计备份\J江苏\2009年度\SZ092402-1龙源如东海上风电场一期综自\110505服务记录\后台\;SZ092402;;2016/11/28 10:52;2;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 20:41;2017/8/28 20:41;XLS;20;"Unix服务器：PRS-700U-X-WF-V2.30-20110416"" 校验码"
